name,expansion,set_code,foil,condition,language,acquire_price,acquire_date
Platinum angel, Mirrodin, MIR,,,,,
Iron Myr, Mirrodin, MIR,,,,,
Dragonmaster Outcast, Battle for Zendikar, BFZ, true,,,,
Part the waterveil, Battle for Zendikar, BFZ,,NM,,,
Emeria Shepherd, Battle for Zendikar, BFZ,,,GR,,
Oran-Rief Hydra, Battle for Zendikar, BFZ,,,,5.00,
Lantern Scout, Battle for Zendikar, BFZ,,,,,09/10/2020
Platinum angel, Mirrodin, MIR,,,,,
Iron Myr, Mirrodin, MIR,,,,,
Dragonmaster Outcast, Battle for Zendikar, BFZ, true,,,,
Part the waterveil, Battle for Zendikar, BFZ,,NM,,,
Emeria Shepherd, Battle for Zendikar, BFZ,,,GR,,
Oran-Rief Hydra, Battle for Zendikar, BFZ,,,,5.00,
Lantern Scout, Battle for Zendikar, BFZ,,,,,09/10/2020
Platinum angel, Mirrodin, MIR,,,,,
Iron Myr, Mirrodin, MIR,,,,,
Iron Myr, Blah, bbb,,,,,
Bleh, Blah, dd,,,,,
Add,ddddd,sddd,,,,,
